testcase_id,AnswerCorrectness,AnswerRelevancy,Faithfulness,ContextRelevance,ContextRecall
0,Ngành Trí tuệ nhân tạo yêu cầu tối thiểu bao nhiêu tín chỉ để tốt nghiệp?,Ngành Trí tuệ nhân tạo yêu cầu tối thiểu bao nhiêu tín chỉ để tốt nghiệp?,Ngành Trí tuệ nhân tạo yêu cầu tối thiểu bao nhiêu tín chỉ để tốt nghiệp?,Ngành Trí tuệ nhân tạo yêu cầu tối thiểu bao nhiêu tín chỉ để tốt nghiệp?,Ngành Trí tuệ nhân tạo yêu cầu tối thiểu bao nhiêu tín chỉ để tốt nghiệp?
1,Thời gian đào tạo ngành CNTT kéo dài bao nhiêu năm?,Thời gian đào tạo ngành CNTT kéo dài bao nhiêu năm?,Thời gian đào tạo ngành CNTT kéo dài bao nhiêu năm?,Thời gian đào tạo ngành CNTT kéo dài bao nhiêu năm?,Thời gian đào tạo ngành CNTT kéo dài bao nhiêu năm?
2,Khối kiến thức giáo dục đại cương của ngành TTNT gồm bao nhiêu tín chỉ?,Khối kiến thức giáo dục đại cương của ngành TTNT gồm bao nhiêu tín chỉ?,Khối kiến thức giáo dục đại cương của ngành TTNT gồm bao nhiêu tín chỉ?,Khối kiến thức giáo dục đại cương của ngành TTNT gồm bao nhiêu tín chỉ?,Khối kiến thức giáo dục đại cương của ngành TTNT gồm bao nhiêu tín chỉ?
3,Môn Nhập Môn Lập Trình thuộc nhóm kiến thức nào và bao nhiêu tín chỉ?,Môn Nhập Môn Lập Trình thuộc nhóm kiến thức nào và bao nhiêu tín chỉ?,Môn Nhập Môn Lập Trình thuộc nhóm kiến thức nào và bao nhiêu tín chỉ?,Môn Nhập Môn Lập Trình thuộc nhóm kiến thức nào và bao nhiêu tín chỉ?,Môn Nhập Môn Lập Trình thuộc nhóm kiến thức nào và bao nhiêu tín chỉ?
4,Tự chọn ngành trong chương trình TTNT yêu cầu tối thiểu bao nhiêu tín chỉ?,Tự chọn ngành trong chương trình TTNT yêu cầu tối thiểu bao nhiêu tín chỉ?,Tự chọn ngành trong chương trình TTNT yêu cầu tối thiểu bao nhiêu tín chỉ?,Tự chọn ngành trong chương trình TTNT yêu cầu tối thiểu bao nhiêu tín chỉ?,Tự chọn ngành trong chương trình TTNT yêu cầu tối thiểu bao nhiêu tín chỉ?
5,Khóa luận tốt nghiệp ngành TTNT có bao nhiêu tín chỉ?,Khóa luận tốt nghiệp ngành TTNT có bao nhiêu tín chỉ?,Khóa luận tốt nghiệp ngành TTNT có bao nhiêu tín chỉ?,Khóa luận tốt nghiệp ngành TTNT có bao nhiêu tín chỉ?,Khóa luận tốt nghiệp ngành TTNT có bao nhiêu tín chỉ?
6,Học kỳ 1 ngành AI có tổng cộng bao nhiêu tín chỉ?,Học kỳ 1 ngành AI có tổng cộng bao nhiêu tín chỉ?,Học kỳ 1 ngành AI có tổng cộng bao nhiêu tín chỉ?,Học kỳ 1 ngành AI có tổng cộng bao nhiêu tín chỉ?,Học kỳ 1 ngành AI có tổng cộng bao nhiêu tín chỉ?
7,Ngành AI yêu cầu bao nhiêu tín chỉ ngoại ngữ?,Ngành AI yêu cầu bao nhiêu tín chỉ ngoại ngữ?,Ngành AI yêu cầu bao nhiêu tín chỉ ngoại ngữ?,Ngành AI yêu cầu bao nhiêu tín chỉ ngoại ngữ?,Ngành AI yêu cầu bao nhiêu tín chỉ ngoại ngữ?
8,Ngành CNTT yêu cầu tổng cộng bao nhiêu tín chỉ để tốt nghiệp?,Ngành CNTT yêu cầu tổng cộng bao nhiêu tín chỉ để tốt nghiệp?,Ngành CNTT yêu cầu tổng cộng bao nhiêu tín chỉ để tốt nghiệp?,Ngành CNTT yêu cầu tổng cộng bao nhiêu tín chỉ để tốt nghiệp?,Ngành CNTT yêu cầu tổng cộng bao nhiêu tín chỉ để tốt nghiệp?
9,Có bao nhiêu hình thức tốt nghiệp trong ngành TTNT?,Có bao nhiêu hình thức tốt nghiệp trong ngành TTNT?,Có bao nhiêu hình thức tốt nghiệp trong ngành TTNT?,Có bao nhiêu hình thức tốt nghiệp trong ngành TTNT?,Có bao nhiêu hình thức tốt nghiệp trong ngành TTNT?
10,Tự chọn chuyên ngành ngành AI yêu cầu tối thiểu bao nhiêu tín chỉ?,Tự chọn chuyên ngành ngành AI yêu cầu tối thiểu bao nhiêu tín chỉ?,Tự chọn chuyên ngành ngành AI yêu cầu tối thiểu bao nhiêu tín chỉ?,Tự chọn chuyên ngành ngành AI yêu cầu tối thiểu bao nhiêu tín chỉ?,Tự chọn chuyên ngành ngành AI yêu cầu tối thiểu bao nhiêu tín chỉ?
11,Học kỳ 7 ngành AI bao gồm những lựa chọn tốt nghiệp nào?,Học kỳ 7 ngành AI bao gồm những lựa chọn tốt nghiệp nào?,Học kỳ 7 ngành AI bao gồm những lựa chọn tốt nghiệp nào?,Học kỳ 7 ngành AI bao gồm những lựa chọn tốt nghiệp nào?,Học kỳ 7 ngành AI bao gồm những lựa chọn tốt nghiệp nào?
12,Lộ trình học trí tuệ nhân tạo từ năm nhất đến năm tư gồm những giai đoạn kiến thức nào?,Lộ trình học trí tuệ nhân tạo từ năm nhất đến năm tư gồm những giai đoạn kiến thức nào?,Lộ trình học trí tuệ nhân tạo từ năm nhất đến năm tư gồm những giai đoạn kiến thức nào?,Lộ trình học trí tuệ nhân tạo từ năm nhất đến năm tư gồm những giai đoạn kiến thức nào?,Lộ trình học trí tuệ nhân tạo từ năm nhất đến năm tư gồm những giai đoạn kiến thức nào?
13,Chuyên Ngành Trí Tuệ Nhân Tạo có mấy hướng chính?,Chuyên Ngành Trí Tuệ Nhân Tạo có mấy hướng chính?,Chuyên Ngành Trí Tuệ Nhân Tạo có mấy hướng chính?,Chuyên Ngành Trí Tuệ Nhân Tạo có mấy hướng chính?,Chuyên Ngành Trí Tuệ Nhân Tạo có mấy hướng chính?
14,Chuyên Ngành Khoa học thông tin thì nên học những môn nào.,Chuyên Ngành Khoa học thông tin thì nên học những môn nào.,Chuyên Ngành Khoa học thông tin thì nên học những môn nào.,Chuyên Ngành Khoa học thông tin thì nên học những môn nào.,Chuyên Ngành Khoa học thông tin thì nên học những môn nào.
